GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 3.b
Created: Fri Sep 29 18:41:13 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
Si30,312248.69,314685.41,339001.84,334968.84,261221.59,201375.36,198316.23,166138.95,171988.06,172527.80,176172.19,170950.88,176717.28,170187.64,171959.19,173523.31,180849.92,319001.41,314930.59,337454.19,336755.72,272558.31,199829.09,199254.86
P31,404.67,386.27,46.55,46.76,1351.71,16.27,27.90,172.94,171.57,198.32,44.93,37.54,102.65,117.05,73.65,133.00,148.77,395.81,376.09,45.14,48.05,1340.62,15.73,23.07
Ca43,81905.45,81905.45,85049.41,85049.41,51029.65,269.62,422.86,1787.87,1819.79,1758.54,1561.16,1570.16,1815.55,1545.41,1639.18,1759.30,1737.74,81905.45,81905.45,85049.42,85049.42,51029.66,313.76,509.83
Ca44,80971.49,81282.96,85253.37,84822.05,50109.34,697.90,803.29,2052.09,2087.71,2021.04,1846.47,1838.67,2092.16,1835.53,1881.64,1996.98,2107.51,80744.97,81153.25,85238.65,84879.43,50796.78,671.91,795.50
Sc45,419.51,420.20,40.08,39.72,31.23,5.28,4.33,7.16,7.21,7.07,6.69,6.54,7.29,6.96,6.53,6.83,7.23,413.68,415.57,39.69,40.12,31.57,5.12,4.12
Ti47,464.58,465.00,44.03,44.01,14311.72,5.70,40.20,198.71,197.33,247.13,106.46,133.98,165.44,163.09,149.56,211.11,213.02,467.47,470.35,43.38,44.61,14742.69,7.40,36.63
Ti49,520.88,515.94,45.64,42.32,15721.14,6.47,42.27,217.01,214.94,268.44,114.64,142.48,175.83,174.34,156.39,227.25,227.93,495.76,497.82,44.35,43.75,15715.41,5.68,38.35
V51,471.59,458.04,39.20,38.38,438.95,3.27,6.13,17.98,17.68,20.71,17.21,15.72,17.04,16.93,15.43,17.49,18.61,469.56,469.52,38.94,38.69,457.94,3.12,6.07
Cr53,442.98,431.37,35.99,36.88,15.58,145.71,276.93,19.40,20.54,22.71,49.59,56.07,19.72,26.48,21.48,17.78,17.59,434.87,427.06,35.97,36.81,15.03,139.49,267.93
Mn55,451.66,445.28,38.83,38.56,1552.79,1098.61,960.73,3852.79,3851.50,3833.72,3603.30,3641.34,3795.20,3788.18,3854.82,3938.63,4220.06,455.21,448.51,38.74,38.67,1615.35,1097.14,954.68
